Author_Node_ID,Gender_Label_Refined,Gender_Label_API,API_Confidence
1048342,male,unknown,0
1031028,male,male,98
1029658,male,male,100
1026481,male,unknown,75
1034178,male,unknown,0
1048428,male,male,100
1031773,male,unknown,0
1044552,male,male,100
1032377,male,male,100
1024522,male,unknown,0
1041787,male,unknown,0
1031117,male,unknown,0
1029513,male,male,100
1038897,male,unknown,0
1032995,male,male,100
1038048,male,male,100
1048337,male,unknown,0
1042329,male,male,100
1043269,male,male,100
1033190,male,unknown,70
1024501,male,unknown,0
1038740,male,unknown,0
1044280,male,male,100
1026247,male,male,98
1031118,male,unknown,0
1041878,male,male,99
1041461,male,unknown,0
1044842,male,male,100
1042670,male,male,100
1039577,male,male,100
1031046,male,male,97
1046280,male,male,100
1029244,male,male,100
1040429,male,male,96
1034351,male,unknown,0
1028320,male,male,100
1026728,male,male,98
1036986,male,male,100
1024697,male,unknown,0
1031961,male,male,100
1042456,male,male,100
1033177,male,male,98
1033178,male,male,98
1042838,male,unknown,0
1036705,male,male,100
1027662,male,male,100
1032124,male,male,99
1041838,male,male,100
1042359,male,male,100
1031802,male,unknown,0
1040758,male,male,100
1047997,female,female,100
1042061,male,male,100
1035592,female,unknown,0
1048056,male,male,98
1034033,male,unknown,0
1039768,male,male,100
1045020,male,unknown,0
1035934,male,male,99
1035285,male,unknown,0
1035105,male,male,100
1032760,male,male,100
1030247,male,unknown,0
1043238,male,male,100
1032679,male,male,100
1034001,male,male,100
1045777,male,unknown,0
1044836,male,male,100
1024614,male,unknown,0
1047882,male,unknown,0
1044278,male,male,100
1047741,male,male,100
1027856,male,male,100
1049413,male,unknown,0
1028632,female,female,100
1045572,male,male,100
1044306,male,male,100
1045081,male,unknown,0
1047724,male,unknown,0
1046842,male,unknown,0
1031574,male,male,99
1043322,male,unknown,0
1028181,male,male,99
1035839,male,male,99
1048270,male,unknown,0
1038773,male,unknown,0
1037990,male,unknown,75
1032595,male,male,100
1046597,male,male,100
1038895,male,unknown,0
1033639,male,male,100
1044194,male,male,100
1048332,male,unknown,0
1032943,male,male,95
1036240,male,male,100
1038586,male,unknown,70
1049708,male,unknown,0
1034872,male,unknown,60
1030007,male,male,100
