Author_Node_ID,Publication_Node_ID,Author_Position
1034508,5000001,1
1035864,5000001,2
1028758,5000002,1
1049362,5000002,2
1028592,5000003,2
1030029,5000003,1
1034733,5000003,3
1044646,5000004,1
1032517,5000005,2
1034621,5000005,1
1028592,5000006,1
1044280,5000007,1
1044384,5000007,2
1045407,5000008,1
1043169,5000009,1
1028592,5000010,2
1030029,5000010,1
1034733,5000010,3
1034663,5000011,1
1028592,5000012,1
1043601,5000013,1
1043269,5000014,1
1044646,5000015,1
1034663,5000016,1
1043269,5000017,1
1032517,5000018,1
1033637,5000019,1
1046125,5000019,2
1035253,5000020,1
1037436,5000021,2
1046415,5000021,1
1025992,5000022,3
1042460,5000022,1
1046754,5000022,2
1038999,5000023,1
1046415,5000023,2
1034660,5000024,2
1044646,5000024,1
1025507,5000025,3
1034339,5000025,2
1035016,5000025,1
1037230,5000026,1
1037386,5000026,2
1032634,5000027,2
1034870,5000027,3
1035016,5000027,1
1039192,5000027,4
1033223,5000028,2
1039625,5000028,1
1026756,5000029,2
1044458,5000029,1
1047421,5000029,3
1034351,5000030,2
1038582,5000030,1
1048442,5000030,3
1034663,5000031,1
1034351,5000032,2
1038582,5000032,1
1048442,5000032,3
1036782,5000033,1
1043169,5000033,2
1028392,5000034,1
1034069,5000034,3
1034296,5000034,2
1029425,5000035,1
1034660,5000035,2
1025317,5000036,1
1044646,5000036,2
1026146,5000037,1
1044737,5000037,2
1029411,5000038,1
1040286,5000038,2
1034660,5000039,2
1044646,5000039,1
1034106,5000040,1
1034663,5000040,2
1029720,5000041,1
1028578,5000042,1
1036624,5000043,1
1035794,5000044,2
1046310,5000044,1
1032634,5000045,3
1042106,5000045,1
1048774,5000045,2
1041069,5000046,2
1044460,5000046,1
1034466,5000047,2
1048785,5000047,1
1029538,5000048,2
1030573,5000048,1
1033791,5000049,1
1044280,5000049,2
1034351,5000050,2
1035472,5000050,3
1035809,5000050,1
1025369,5000051,4
1028822,5000051,5
1034660,5000051,2
1040553,5000051,3
1044646,5000051,1
1029765,5000052,1
1047078,5000052,2
1037840,5000053,2
1047391,5000053,1
1029538,5000054,1
1033568,5000054,2
1028604,5000055,2
1038999,5000055,1
1029960,5000056,1
1032206,5000056,2
1038703,5000057,1
1044462,5000057,2
1032517,5000058,1
1040574,5000058,2
1025774,5000059,3
1029950,5000059,2
1040229,5000059,4
1042412,5000059,1
1034106,5000060,1
1032517,5000061,1
1025317,5000062,1
1036648,5000063,1
1038211,5000063,2
1048763,5000064,1
1026265,5000065,4
1035540,5000065,3
1038493,5000065,2
1039753,5000065,1
1034106,5000066,1
1024999,5000067,3
1040262,5000067,4
1042149,5000067,2
1045249,5000067,1
1029344,5000068,1
1035737,5000069,1
1036522,5000069,3
1043128,5000069,4
1045151,5000069,2
1029859,5000070,2
1043269,5000070,1
1026733,5000071,1
1038740,5000072,1
1029484,5000073,2
1031212,5000073,3
1045958,5000073,1
1039486,5000074,1
1039625,5000074,3
1047285,5000074,2
1026822,5000075,2
1045355,5000075,1
1028564,5000076,3
1039610,5000076,1
1040981,5000076,2
1024896,5000077,5
1032634,5000077,4
1037436,5000077,3
1037840,5000077,1
1038999,5000077,2
1027655,5000078,1
1036571,5000078,4
1036572,5000078,2
1039049,5000078,3
1042550,5000079,1
1025728,5000080,1
1029344,5000080,2
1041504,5000080,3
1049362,5000081,1
1035016,5000082,1
1033999,5000083,1
1041311,5000084,1
1026447,5000085,1
1040767,5000086,1
1042550,5000087,1
1034106,5000088,1
1029003,5000089,2
1032893,5000089,4
1035692,5000089,1
1045313,5000089,3
1024954,5000090,6
1026857,5000090,3
1029562,5000090,7
1033608,5000090,4
1039173,5000090,5
1040303,5000090,1
1048749,5000090,2
1029765,5000091,2
1047221,5000091,1
1037840,5000092,1
1041388,5000093,1
1026396,5000094,1
1032636,5000094,6
1033414,5000094,7
1034733,5000094,4
1036783,5000094,3
1039404,5000094,5
1041964,5000094,2
1025317,5000095,1
1029538,5000095,2
1033568,5000095,3
1044869,5000095,4
1044031,5000096,1
1024896,5000097,7
1032634,5000097,6
1035016,5000097,5
1035809,5000097,3
1037840,5000097,1
1038999,5000097,2
1042550,5000097,4
1028320,5000098,3
1037436,5000098,1
1037664,5000098,2
1025317,5000099,1
1043601,5000100,1
1030592,5000101,2
1043721,5000101,1
1046116,5000102,1
1049677,5000102,2
1024986,5000103,1
1025887,5000103,6
1027652,5000103,7
1029668,5000103,3
1032530,5000103,4
1042096,5000103,5
1045706,5000103,2
1025202,5000104,2
1029733,5000104,1
1047285,5000104,3
1042490,5000105,1
1024896,5000106,2
1042234,5000106,1
1034106,5000107,1
1026793,5000108,1
1030933,5000108,2
1026422,5000109,2
1026733,5000109,1
1030951,5000110,1
1042446,5000110,2
1036383,5000111,3
1042290,5000111,1
1045681,5000111,2
1035016,5000112,1
1029484,5000113,2
1035424,5000113,1
1036383,5000114,3
1039396,5000114,1
1047042,5000114,2
1024501,5000115,3
1035478,5000115,1
1038411,5000115,2
1034663,5000116,2
1044384,5000116,1
1034386,5000117,2
1035020,5000117,1
1044817,5000118,1
1041803,5000119,2
1042302,5000119,1
1035737,5000120,2
1045215,5000120,1
1036763,5000121,1
1038740,5000121,3
1044675,5000121,2
1045040,5000122,2
1049639,5000122,1
1032634,5000123,3
1039783,5000123,2
1043982,5000123,1
1029868,5000124,2
1037065,5000124,1
1044675,5000125,1
1035016,5000126,1
1037952,5000126,2
1037686,5000127,2
1043269,5000127,3
1045199,5000127,1
1025317,5000128,1
1033777,5000128,2
1034351,5000129,2
1047393,5000129,1
1030592,5000130,2
1037840,5000130,3
1044031,5000130,1
1025317,5000131,1
1036784,5000131,2
1025119,5000132,1
1039625,5000132,2
1038474,5000133,2
1040432,5000133,1
1027892,5000134,1
1037943,5000134,2
1027052,5000135,1
1037947,5000135,2
1034106,5000136,1
1025789,5000137,4
1038389,5000137,3
1039439,5000137,5
1039778,5000137,2
1049757,5000137,1
1026044,5000138,1
1037840,5000139,1
1042569,5000140,2
1045201,5000140,1
1042353,5000141,1
1048428,5000141,2
1037586,5000142,1
1036730,5000143,2
1037541,5000143,1
1035399,5000144,1
1036383,5000145,1
1029335,5000146,1
1038703,5000146,3
1044646,5000146,2
1033312,5000147,3
1041048,5000147,1
1047998,5000147,2
1033219,5000148,3
1036383,5000148,2
1039198,5000148,4
1049131,5000148,1
1044031,5000149,1
1025317,5000150,1
1029003,5000151,4
1032650,5000151,1
1032893,5000151,3
1045313,5000151,2
1034351,5000152,2
1048442,5000152,1
1031469,5000153,2
1035058,5000153,1
1025317,5000154,1
1035058,5000155,2
1035198,5000155,1
1027137,5000156,2
1047358,5000156,1
1029344,5000157,1
1044280,5000157,3
1048024,5000157,2
1025242,5000158,1
1027990,5000159,1
1047998,5000159,2
1025148,5000160,4
1035195,5000160,2
1046364,5000160,1
1049597,5000160,3
1027724,5000161,2
1037952,5000161,1
1045584,5000161,3
1037436,5000162,2
1046415,5000162,1
1029484,5000163,2
1035424,5000163,3
1036593,5000163,1
1029603,5000164,1
1044737,5000164,2
1030773,5000165,1
1041347,5000165,2
1048573,5000165,3
1036177,5000166,2
1046415,5000166,1
1042681,5000167,2
1049373,5000167,1
1029603,5000168,1
1038645,5000168,2
1042550,5000169,1
1036730,5000170,2
1039907,5000170,1
1045958,5000171,1
1031197,5000172,2
1043103,5000172,1
1032380,5000173,2
1046600,5000173,1
1035253,5000174,1
1041973,5000174,2
1038656,5000175,1
1035544,5000176,1
1038457,5000176,2
1038703,5000177,1
1025788,5000178,1
1045584,5000178,2
1030102,5000179,1
1038562,5000180,1
1042184,5000180,2
1026276,5000181,1
1037096,5000181,2
1037301,5000182,1
1045201,5000182,2
1037253,5000183,2
1037840,5000183,1
1043269,5000184,1
1034106,5000185,2
1038579,5000185,1
1037088,5000186,1
1037196,5000186,2
1026080,5000187,1
1028187,5000187,2
1027010,5000188,3
1033637,5000188,1
1046125,5000188,4
1049528,5000188,2
1028957,5000189,2
1037443,5000189,1
1043897,5000189,4
1047173,5000189,3
1034106,5000190,2
1044239,5000190,1
1034106,5000191,2
1038579,5000191,1
1037840,5000192,2
1043238,5000192,1
1043982,5000193,1
1044246,5000193,3
1045451,5000193,2
1043269,5000194,1
1042736,5000195,1
1044227,5000195,2
1034106,5000196,2
1037670,5000196,1
1043802,5000197,1
1044384,5000197,2
1037840,5000198,2
1043238,5000198,1
1038999,5000199,1
1043238,5000199,2
1033731,5000200,2
1044727,5000200,1
1030657,5000201,3
1034560,5000201,2
1041503,5000201,1
1033617,5000202,1
1049397,5000202,2
1036177,5000203,2
1046720,5000203,1
1025317,5000204,1
1032217,5000204,3
1041388,5000204,2
1049788,5000204,4
1043238,5000205,1
1029603,5000206,1
