Publication_Node_ID,Year
5000001,2004
5000002,2004
5000003,2004
5000004,2004
5000005,2004
5000006,2004
5000007,2004
5000008,2004
5000009,2004
5000010,2004
5000011,2004
5000012,2004
5000013,2004
5000014,2004
5000015,2004
5000016,2004
5000017,2004
5000018,2004
5000019,2004
5000020,2004
5000021,2004
5000022,2004
5000023,2004
5000024,2005
5000025,2005
5000026,2005
5000027,2005
5000028,2005
5000029,2005
5000030,2005
5000031,2005
5000032,2005
5000033,2005
5000034,2006
5000035,2005
5000036,2005
5000037,2005
5000038,2005
5000039,2005
5000040,2006
5000041,2005
5000042,2005
5000043,2005
5000044,2005
5000045,2006
5000046,2006
5000047,2006
5000048,2006
5000049,2006
5000050,2006
5000051,2006
5000052,2006
5000053,2006
5000054,2006
5000055,2006
5000056,2006
5000057,2006
5000058,2006
5000059,2006
5000060,2006
5000061,2007
5000062,2007
5000063,2007
5000064,2007
5000065,2007
5000066,2007
5000067,2007
5000068,2007
5000069,2007
5000070,2007
5000071,2007
5000072,2007
5000073,2007
5000074,2007
5000075,2007
5000076,2007
5000077,2007
5000078,2008
5000079,2008
5000080,2008
5000081,2008
5000082,2008
5000083,2008
5000084,2008
5000085,2008
5000086,2008
5000087,2008
5000088,2008
5000089,2008
5000090,2008
5000091,2008
5000092,2008
5000093,2008
5000094,2008
5000095,2008
5000096,2009
5000097,2008
5000098,2009
5000099,2009
5000100,2009
5000101,2009
5000102,2009
5000103,2009
5000104,2009
5000105,2009
5000106,2009
5000107,2009
5000108,2009
5000109,2009
5000110,2010
5000111,2010
5000112,2009
5000113,2009
5000114,2009
5000115,2010
5000116,2009
5000117,2010
5000118,2009
5000119,2010
5000120,2010
5000121,2010
5000122,2010
5000123,2010
5000124,2010
5000125,2010
5000126,2010
5000127,2010
5000128,2010
5000129,2010
5000130,2010
5000131,2010
5000132,2010
5000133,2010
5000134,2010
5000135,2010
5000136,2010
5000137,2010
5000138,2010
5000139,2010
5000140,2010
5000141,2010
5000142,2011
5000143,2011
5000144,2011
5000145,2011
5000146,2011
5000147,2011
5000148,2011
5000149,2011
5000150,2011
5000151,2011
5000152,2011
5000153,2011
5000154,2011
5000155,2011
5000156,2011
5000157,2011
5000158,2011
5000159,2011
5000160,2011
5000161,2012
5000162,2012
5000163,2012
5000164,2012
5000165,2012
5000166,2012
5000167,2012
5000168,2012
5000169,2012
5000170,2012
5000171,2012
5000172,2012
5000173,2012
5000174,2012
5000175,2012
5000176,2012
5000177,2012
5000178,2012
5000179,2012
5000180,2012
5000181,2012
5000182,2012
5000183,2012
5000184,2012
5000185,2012
5000186,2012
5000187,2012
5000188,2013
5000189,2013
5000190,2013
5000191,2013
5000192,2013
5000193,2013
5000194,2013
5000195,2013
5000196,2013
5000197,2013
5000198,2013
5000199,2013
5000200,2013
5000201,2013
5000202,2013
5000203,2013
5000204,2013
5000205,2013
5000206,2013
5000207,2013
5000208,2013
5000209,2013
5000210,2013
5000211,2013
5000212,2014
5000213,2014
5000214,2014
5000215,2014
5000216,2014
5000217,2014
5000218,2014
5000219,2014
5000220,2014
5000221,2014
5000222,2014
5000223,2014
5000224,2014
5000225,2014
5000226,2014
5000227,2014
5000228,2014
5000229,2015
5000230,2015
5000231,2015
5000232,2015
5000233,2015
5000234,2015
5000235,2015
5000236,2015
5000237,2015
5000238,2015
5000239,2015
5000240,2015
5000241,2015
5000242,2015
5000243,2015
5000244,2016
5000245,2015
5000246,2016
5000247,2016
5000248,2016
5000249,2016
